b'id',b'key',b'value',b'type'
20758043,b'source',b'PGS',b'regular'
20758058,b'source',b'PGS',b'regular'
20758059,b'source',b'PGS',b'regular'
20758060,b'source',b'PGS',b'regular'
20758061,b'source',b'PGS',b'regular'
20758075,b'source',b'PGS',b'regular'
20758076,b'source',b'PGS',b'regular'
20758077,b'source',b'PGS',b'regular'
20758079,b'source',b'PGS',b'regular'
20758080,b'source',b'PGS',b'regular'
20758081,b'source',b'PGS',b'regular'
20758082,b'source',b'PGS',b'regular'
20758083,b'source',b'PGS',b'regular'
20758084,b'source',b'PGS',b'regular'
20758091,b'source',b'PGS',b'regular'
20758092,b'source',b'PGS',b'regular'
20758094,b'source',b'PGS',b'regular'
20758095,b'source',b'PGS',b'regular'
20758096,b'source',b'PGS',b'regular'
20758097,b'source',b'PGS',b'regular'
20758098,b'source',b'PGS',b'regular'
20758099,b'source',b'PGS',b'regular'
20758101,b'source',b'PGS',b'regular'
20758102,b'created_by',b'almien_coastlines',b'regular'
20758102,b'source',b'PGS',b'regular'
20758103,b'created_by',b'almien_coastlines',b'regular'
20758103,b'source',b'PGS',b'regular'
20758108,b'created_by',b'almien_coastlines',b'regular'
20758108,b'source',b'PGS',b'regular'
20758109,b'created_by',b'almien_coastlines',b'regular'
20758109,b'source',b'PGS',b'regular'
20758110,b'created_by',b'almien_coastlines',b'regular'
20758110,b'source',b'PGS',b'regular'
20758111,b'created_by',b'almien_coastlines',b'regular'
20758111,b'source',b'PGS',b'regular'
20758112,b'created_by',b'almien_coastlines',b'regular'
20758112,b'source',b'PGS',b'regular'
20758113,b'created_by',b'almien_coastlines',b'regular'
20758113,b'source',b'PGS',b'regular'
20758114,b'created_by',b'almien_coastlines',b'regular'
20758114,b'source',b'PGS',b'regular'
20758115,b'created_by',b'almien_coastlines',b'regular'
20758115,b'source',b'PGS',b'regular'
20758116,b'created_by',b'almien_coastlines',b'regular'
20758116,b'source',b'PGS',b'regular'
20758117,b'created_by',b'almien_coastlines',b'regular'
20758117,b'source',b'PGS',b'regular'
20758118,b'created_by',b'almien_coastlines',b'regular'
20758118,b'source',b'PGS',b'regular'
20758119,b'created_by',b'almien_coastlines',b'regular'
20758119,b'source',b'PGS',b'regular'
20758120,b'created_by',b'almien_coastlines',b'regular'
20758120,b'source',b'PGS',b'regular'
20758121,b'created_by',b'almien_coastlines',b'regular'
20758121,b'source',b'PGS',b'regular'
20758122,b'created_by',b'almien_coastlines',b'regular'
20758122,b'source',b'PGS',b'regular'
20758123,b'created_by',b'almien_coastlines',b'regular'
20758123,b'source',b'PGS',b'regular'
20758124,b'created_by',b'almien_coastlines',b'regular'
20758124,b'source',b'PGS',b'regular'
20758125,b'created_by',b'almien_coastlines',b'regular'
20758125,b'source',b'PGS',b'regular'
20758126,b'created_by',b'almien_coastlines',b'regular'
20758126,b'source',b'PGS',b'regular'
20758127,b'created_by',b'almien_coastlines',b'regular'
20758127,b'source',b'PGS',b'regular'
20758128,b'created_by',b'almien_coastlines',b'regular'
20758128,b'source',b'PGS',b'regular'
20758129,b'created_by',b'almien_coastlines',b'regular'
20758129,b'source',b'PGS',b'regular'
20758130,b'created_by',b'almien_coastlines',b'regular'
20758130,b'source',b'PGS',b'regular'
20758131,b'created_by',b'almien_coastlines',b'regular'
20758131,b'source',b'PGS',b'regular'
20758132,b'created_by',b'almien_coastlines',b'regular'
20758132,b'source',b'PGS',b'regular'
20758133,b'created_by',b'almien_coastlines',b'regular'
