b'id',b'key',b'value',b'type'
b'18598030',b'highway',b'motorway',b'regular'
b'18598030',b'lanes',b'3',b'regular'
b'18598030',b'maxspeed',b'100',b'regular'
b'18598030',b'name',b'Arthur Hopewell Highway',b'regular'
b'18598030',b'oneway',b'yes',b'regular'
b'18598030',b'placement',b'left_of:2',b'regular'
b'18598030',b'ref',b'M13',b'regular'
b'18598030',b'source',b'GPS',b'regular'
b'18676074',b'created_by',b'JOSM',b'regular'
b'18676074',b'highway',b'residential',b'regular'
b'18676074',b'name',b'Everton Road',b'regular'
b'18676081',b'highway',b'motorway_link',b'regular'
b'18676081',b'oneway',b'yes',b'regular'
b'18676085',b'created_by',b'JOSM',b'regular'
b'18676085',b'highway',b'residential',b'regular'
b'18676085',b'name',b'Hoosen Lane',b'regular'
b'18676089',b'created_by',b'JOSM',b'regular'
b'18676089',b'highway',b'motorway_link',b'regular'
b'18676089',b'oneway',b'yes',b'regular'
b'18682851',b'amenity',b'parking',b'regular'
b'18791627',b'highway',b'motorway_link',b'regular'
b'18791627',b'oneway',b'yes',b'regular'
b'18791629',b'highway',b'motorway_link',b'regular'
b'18791629',b'oneway',b'no',b'regular'
b'18886728',b'highway',b'primary',b'regular'
b'18886728',b'name',b'Richmond Road',b'regular'
b'18886728',b'ref',b'M1',b'regular'
b'19024167',b'highway',b'primary',b'regular'
b'19024167',b'name',b'King Cetshwayo Highway',b'regular'
b'19024167',b'old_name',b'Jan Smuts Highway',b'regular'
b'19024167',b'oneway',b'yes',b'regular'
b'19024167',b'ref',b'M13',b'regular'
b'19024167',b'source',b'GPS',b'regular'
b'19024167',b'surface',b'paved',b'regular'
b'19024172',b'bridge',b'yes',b'regular'
b'19024172',b'highway',b'motorway',b'regular'
b'19024172',b'layer',b'1',b'regular'
b'19024172',b'oneway',b'yes',b'regular'
b'19024172',b'ref',b'N3',b'regular'
b'19024177',b'highway',b'motorway',b'regular'
b'19024177',b'oneway',b'yes',b'regular'
b'19024177',b'ref',b'N3',b'regular'
b'19024181',b'bridge',b'yes',b'regular'
b'19024181',b'highway',b'motorway',b'regular'
b'19024181',b'layer',b'1',b'regular'
b'19024181',b'oneway',b'yes',b'regular'
b'19024181',b'ref',b'N3',b'regular'
b'19024184',b'highway',b'motorway',b'regular'
b'19024184',b'oneway',b'yes',b'regular'
b'19024184',b'ref',b'N3',b'regular'
b'19024187',b'highway',b'motorway_link',b'regular'
b'19024187',b'oneway',b'yes',b'regular'
b'19024188',b'highway',b'motorway_link',b'regular'
b'19024188',b'oneway',b'yes',b'regular'
b'19024190',b'highway',b'motorway_link',b'regular'
b'19024190',b'oneway',b'yes',b'regular'
b'19024193',b'highway',b'motorway_link',b'regular'
b'19024193',b'oneway',b'yes',b'regular'
b'19024194',b'created_by',b'JOSM',b'regular'
b'19024194',b'highway',b'motorway_link',b'regular'
b'19024194',b'oneway',b'yes',b'regular'
b'19024195',b'highway',b'motorway_link',b'regular'
b'19024195',b'oneway',b'yes',b'regular'
b'19024536',b'bridge',b'yes',b'regular'
b'19024536',b'highway',b'primary',b'regular'
b'19024536',b'layer',b'1',b'regular'
b'19024536',b'name',b'Richmond Road',b'regular'
b'19024536',b'oneway',b'yes',b'regular'
b'19024536',b'ref',b'M1',b'regular'
b'19024541',b'bridge',b'yes',b'regular'
b'19024541',b'highway',b'primary',b'regular'
b'19024541',b'layer',b'1',b'regular'
b'19024541',b'name',b'Richmond Road',b'regular'
b'19024541',b'oneway',b'yes',b'regular'
b'19024541',b'ref',b'M1',b'regular'
b'19183288',b'highway',b'motorway',b'regular'
b'19183288',b'name',b'Leo Boyd Highway',b'regular'
b'19183288',b'oneway',b'yes',b'regular'
b'19183288',b'ref',b'M4',b'regular'
b'19526559',b'highway',b'residential',b'regular'
b'19526559',b'name',b'Pearson Road',b'regular'
b'19528470',b'created_by',b'JOSM',b'regular'
b'19528470',b'highway',b'residential',b'regular'
b'19528470',b'name',b'Madeleine Drive',b'regular'
b'19528471',b'created_by',b'JOSM',b'regular'
b'19528471',b'highway',b'residential',b'regular'
b'19528471',b'name',b'Halstead Road',b'regular'
b'19528473',b'created_by',b'JOSM',b'regular'
b'19528473',b'highway',b'residential',b'regular'
b'19528473',b'name',b'Noelle Road',b'regular'
b'19528475',b'created_by',b'JOSM',b'regular'
b'19528475',b'highway',b'residential',b'regular'
b'19528475',b'name',b'Edward Drive',b'regular'
b'19528476',b'created_by',b'JOSM',b'regular'
b'19528476',b'highway',b'residential',b'regular'
b'19528476',b'name',b'Camp Road',b'regular'
b'19528477',b'created_by',b'JOSM',b'regular'
b'19528477',b'highway',b'residential',b'regular'
b'19528477',b'name',b'Tudor Road',b'regular'
b'19528483',b'created_by',b'JOSM',b'regular'
b'19528483',b'highway',b'residential',b'regular'
b'19528483',b'name',b'Elizabeth Drive',b'regular'
b'19541608',b'created_by',b'JOSM',b'regular'
b'19541608',b'highway',b'residential',b'regular'
b'19541608',b'name',b'Macfarlane Drive',b'regular'
b'19541614',b'highway',b'residential',b'regular'
b'19541614',b'name',b'Bridget Road',b'regular'
b'19541615',b'created_by',b'Potlatch 0.10f',b'regular'
b'19541615',b'highway',b'residential',b'regular'
b'19541615',b'name',b'Anthony Drive',b'regular'
b'19541622',b'highway',b'residential',b'regular'
b'19541622',b'name',b'Minerva Drive',b'regular'
b'19541624',b'created_by',b'JOSM',b'regular'
b'19541624',b'highway',b'residential',b'regular'
b'19541627',b'created_by',b'JOSM',b'regular'
b'19541627',b'highway',b'residential',b'regular'
b'19541628',b'created_by',b'JOSM',b'regular'
b'19541628',b'highway',b'residential',b'regular'
b'19541628',b'name',b'Stella Road',b'regular'
b'19541630',b'created_by',b'JOSM',b'regular'
b'19541630',b'highway',b'residential',b'regular'
b'19541630',b'name',b'Mariane Road',b'regular'
b'19541632',b'created_by',b'JOSM',b'regular'
b'19541632',b'highway',b'residential',b'regular'
b'19541632',b'name',b'Francis Road',b'regular'
b'19541634',b'created_by',b'JOSM',b'regular'
b'19541634',b'highway',b'residential',b'regular'
b'19541634',b'name',b'Rodger Place',b'regular'
b'19541640',b'created_by',b'JOSM',b'regular'
b'19541640',b'highway',b'residential',b'regular'
b'19541640',b'name',b'Shirley Avenue',b'regular'
b'19541643',b'created_by',b'JOSM',b'regular'
b'19541643',b'highway',b'residential',b'regular'
b'19541643',b'name',b'Ann Place',b'regular'
b'19541645',b'created_by',b'JOSM',b'regular'
b'19541645',b'highway',b'residential',b'regular'
b'19541645',b'name',b'Horseshoe Crescent',b'regular'
b'19541648',b'created_by',b'JOSM',b'regular'
b'19541648',b'highway',b'residential',b'regular'
b'19541648',b'name',b'Deborah Crescent',b'regular'
b'19541650',b'highway',b'residential',b'regular'
b'19541650',b'name',b'Hillside Road',b'regular'
b'19546548',b'highway',b'motorway_link',b'regular'
b'19546548',b'oneway',b'yes',b'regular'
b'19569546',b'highway',b'tertiary',b'regular'
b'19569546',b'name',b'Inanda Road',b'regular'
b'19569546',b'ref',b'P255',b'regular'
b'19569546',b'source',b'eThekwini Metro;survey',b'regular'
b'19710673',b'highway',b'unclassified',b'regular'
b'19710673',b'junction',b'roundabout',b'regular'
b'19710673',b'name',b'Emolweni Road',b'regular'
b'19710673',b'oneway',b'yes',b'regular'
b'19710677',b'highway',b'residential',b'regular'
b'19710677',b'name',b'Klooflands Road',b'regular'
b'19710677',b'oneway',b'yes',b'regular'
b'19710679',b'highway',b'residential',b'regular'
b'19710679',b'name',b'Klooflands Road',b'regular'
b'19710679',b'oneway',b'yes',b'regular'
b'19740960',b'highway',b'motorway_link',b'regular'
b'19740960',b'oneway',b'yes',b'regular'
b'19742705',b'highway',b'motorway_link',b'regular'
b'19742705',b'maxspeed',b'60',b'regular'
b'19742705',b'oneway',b'yes',b'regular'
b'19784770',b'highway',b'service',b'regular'
b'19784770',b'lit',b'yes',b'regular'
